Day,Start Hour,Impressions
Sunday,12 AM,183
Sunday,1 AM,107
Sunday,2 AM,95
Sunday,3 AM,103
Sunday,4 AM,170
Sunday,5 AM,229
Sunday,6 AM,456
Sunday,7 AM,749
Sunday,8 AM,973
Sunday,9 AM,787
Sunday,10 AM,507
Sunday,11 AM,363
Sunday,12 PM,340
Sunday,1 PM,345
Sunday,2 PM,436
Sunday,3 PM,476
Sunday,4 PM,508
Sunday,5 PM,668
Sunday,6 PM,830
Sunday,7 PM,821
Sunday,8 PM,723
Sunday,9 PM,625
Sunday,10 PM,478
Sunday,11 PM,407
Monday,12 AM,142
Monday,1 AM,96
Monday,2 AM,78
Monday,3 AM,103
Monday,4 AM,181
Monday,5 AM,311
Monday,6 AM,614
Monday,7 AM,"1,086"
Monday,8 AM,"1,271"
Monday,9 AM,"1,136"
Monday,10 AM,659
Monday,11 AM,571
Monday,12 PM,548
Monday,1 PM,536
Monday,2 PM,664
Monday,3 PM,795
Monday,4 PM,891
Monday,5 PM,887
Monday,6 PM,780
Monday,7 PM,786
Monday,8 PM,718
Monday,9 PM,618
Monday,10 PM,339
Monday,11 PM,273
Tuesday,12 AM,114
Tuesday,1 AM,61
Tuesday,2 AM,71
Tuesday,3 AM,71
Tuesday,4 AM,126
Tuesday,5 AM,210
Tuesday,6 AM,482
Tuesday,7 AM,960
Tuesday,8 AM,"1,116"
Tuesday,9 AM,"1,188"
Tuesday,10 AM,617
Tuesday,11 AM,497
Tuesday,12 PM,434
Tuesday,1 PM,522
Tuesday,2 PM,481
Tuesday,3 PM,741
Tuesday,4 PM,825
Tuesday,5 PM,984
Tuesday,6 PM,844
Tuesday,7 PM,740
Tuesday,8 PM,556
Tuesday,9 PM,465
Tuesday,10 PM,265
Tuesday,11 PM,252
Wednesday,12 AM,121
Wednesday,1 AM,75
Wednesday,2 AM,81
Wednesday,3 AM,97
Wednesday,4 AM,134
Wednesday,5 AM,249
Wednesday,6 AM,553
Wednesday,7 AM,909
Wednesday,8 AM,"1,141"
Wednesday,9 AM,"1,135"
Wednesday,10 AM,743
Wednesday,11 AM,577
Wednesday,12 PM,580
Wednesday,1 PM,534
Wednesday,2 PM,712
Wednesday,3 PM,921
Wednesday,4 PM,977
Wednesday,5 PM,909
Wednesday,6 PM,878
Wednesday,7 PM,821
Wednesday,8 PM,724
Wednesday,9 PM,639
Wednesday,10 PM,427
Wednesday,11 PM,326
Thursday,12 AM,88
Thursday,1 AM,70
Thursday,2 AM,75
Thursday,3 AM,83
Thursday,4 AM,143
Thursday,5 AM,220
Thursday,6 AM,558
Thursday,7 AM,956
Thursday,8 AM,"1,136"
Thursday,9 AM,960
Thursday,10 AM,596
Thursday,11 AM,608
Thursday,12 PM,545
Thursday,1 PM,650
Thursday,2 PM,820
Thursday,3 PM,935
Thursday,4 PM,"1,096"
Thursday,5 PM,952
Thursday,6 PM,894
Thursday,7 PM,817
Thursday,8 PM,710
Thursday,9 PM,645
Thursday,10 PM,515
Thursday,11 PM,431
Friday,12 AM,111
Friday,1 AM,73
Friday,2 AM,59
Friday,3 AM,69
Friday,4 AM,131
Friday,5 AM,248
Friday,6 AM,612
Friday,7 AM,"1,099"
Friday,8 AM,"1,177"
Friday,9 AM,"1,046"
Friday,10 AM,575
Friday,11 AM,604
Friday,12 PM,571
Friday,1 PM,711
Friday,2 PM,781
Friday,3 PM,957
Friday,4 PM,941
Friday,5 PM,835
Friday,6 PM,738
Friday,7 PM,663
Friday,8 PM,600
Friday,9 PM,659
Friday,10 PM,597
Friday,11 PM,570
Saturday,12 AM,147
Saturday,1 AM,83
Saturday,2 AM,74
Saturday,3 AM,91
Saturday,4 AM,139
Saturday,5 AM,206
Saturday,6 AM,489
Saturday,7 AM,921
Saturday,8 AM,940
Saturday,9 AM,734
Saturday,10 AM,317
Saturday,11 AM,244
Saturday,12 PM,316
Saturday,1 PM,381
Saturday,2 PM,604
Saturday,3 PM,681
Saturday,4 PM,647
Saturday,5 PM,654
Saturday,6 PM,617
Saturday,7 PM,683
Saturday,8 PM,738
Saturday,9 PM,765
Saturday,10 PM,600
Saturday,11 PM,371
