Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
Subaru mechanic near me,Broad match,Enabled,Enabled,Enabled,$759.56,67,5.11%
mechanic shop,Phrase match,Enabled,Enabled,Enabled,$749.43,69,2.53%
best mechanic fort collins,Exact match,Enabled,Enabled,Enabled,$205.23,15,2.96%
kings auto center,Phrase match,Enabled,Enabled,Enabled,$175.42,83,24.92%
kings auto center fort collins co,Exact match,Enabled,Enabled,Enabled,$172.95,105,24.42%
mechanic near me,Exact match,Enabled,Enabled,Enabled,$171.39,14,5.15%
mechanic shops near me,Phrase match,Enabled,Enabled,Enabled,$134.73,10,2.35%
kings automotive,Exact match,Enabled,Enabled,Enabled,$116.73,57,19.86%
best mechanic near me,Exact match,Enabled,Enabled,Enabled,$49.92,6,2.39%
subaru service fort collins,Broad match,Enabled,Enabled,Enabled,$46.88,4,6.45%
Subaru mechanic fort collins,Broad match,Enabled,Enabled,Enabled,$3.57,1,4.55%
Subaru mechanic near me,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
subaru service fort collins,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
Subaru mechanic fort collins,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
