Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
fort collins,$681.87,170,"1,298",0.00,"(kings auto fort collins, kings auto center fort collins, subaru fort collins)"
auto,$473.64,211,"1,119",0.00,"(kings auto fort collins, kings auto, kings auto center fort collins)"
kings auto,$377.15,198,864,0.00,"(kings auto fort collins, kings auto, kings auto center fort collins)"
center,$175.60,71,325,0.00,"(kings auto center fort collins, kings auto center, king's auto center fort collins)"
subaru,$246.24,21,318,0.00,"(subaru fort collins, subaru service fort collins, subaru)"
repair,$43.78,9,233,0.00,"(fort collins auto repair, subaru repair fort collins, small engine repair fort collins)"
service,$81.08,8,220,0.00,"(subaru service fort collins, kia fort collins service, fort collins nissan service)"
near me,$64.61,5,182,0.00,"(mechanic near me, mechanics near me, auto repair near me)"
automotive,$77.41,17,178,0.00,"(total automotive fort collins, kings automotive, pine dog automotive fort collins)"
mechanic,$87.15,8,137,0.00,"(mechanic near me, mechanic fort collins, subaru mechanic fort collins)"
king's auto,$27.60,12,77,0.00,"(king's auto center fort collins, king's auto center, king's auto)"
total,$28.00,3,60,0.00,(total automotive fort collins)
kia,$7.19,1,55,0.00,"(kia fort collins service, fort collins kia service, kia service center)"
mechanics,$49.12,1,54,0.00,"(mechanics near me, mechanics in fort collins, mechanics fort collins)"
car,$0.00,0,48,0.00,"(car repair fort collins, car repair near me, car mechanic near me)"
shop,$24.57,1,47,0.00,"(auto shop near me, auto shop fort collins, auto repair shop)"
nissan,$0.00,0,35,0.00,"(fort collins nissan service, nissan fort collins service, nissan service fort collins)"
shops,$0.00,0,27,0.00,"(auto shops near me, auto shops fort collins, automotive shops near me)"
dog,$18.22,1,26,0.00,(pine dog automotive fort collins)
pine,$18.22,1,26,0.00,(pine dog automotive fort collins)
small,$2.52,1,25,0.00,(small engine repair fort collins)
engine,$2.52,1,25,0.00,(small engine repair fort collins)
king,$25.55,6,23,0.00,(king auto fort collins)
rupair,$11.63,1,22,0.00,(super rupair)
super,$11.63,1,22,0.00,(super rupair)
experts,$7.01,1,20,0.00,(auto repair experts fort collins)
oil change,$12.67,2,19,0.00,"(oil change fort collins, oil change near me)"
european,$0.00,0,18,0.00,"(european motors fort collins, european motor cars fort collins)"
asr,$40.01,1,16,0.00,(asr fort collins)
best,$22.67,2,16,0.00,"(best auto repair fort collins, best mechanic fort collins)"
dave's,$0.00,0,15,0.00,(dave's automotive fort collins)
toyota,$0.00,0,15,0.00,(toyota service fort collins)
care,$0.00,0,13,0.00,"(1up complete auto care, we care auto repair fort collins)"
motors,$0.00,0,13,0.00,(european motors fort collins)
in,$49.12,1,12,0.00,(mechanics in fort collins)
westin,$10.41,2,11,0.00,(westin automotive fort collins)
honda,$4.86,1,10,0.00,"(honda auto repair fort collins, honda service fort collins)"
1up,$0.00,0,8,0.00,(1up complete auto care)
up,$0.00,0,8,0.00,(tune up near me)
weston,$0.00,0,8,0.00,(weston auto fort collins)
nelson,$5.55,1,8,0.00,(nelson auto fort collins)
final,$23.15,1,8,0.00,(final drive fort collins)
drive,$23.15,1,8,0.00,(final drive fort collins)
ams,$0.00,0,8,0.00,(ams fort collins)
tune,$0.00,0,8,0.00,(tune up near me)
complete,$0.00,0,8,0.00,(1up complete auto care)
vee,$0.00,0,7,0.00,(pat's vee w unlimited)
alignment,$0.00,0,7,0.00,(alignment fort collins)
pat's,$0.00,0,7,0.00,(pat's vee w unlimited)
unlimited,$0.00,0,7,0.00,(pat's vee w unlimited)
w,$0.00,0,7,0.00,(pat's vee w unlimited)
autonation,$0.00,0,6,0.00,(autonation subaru arapahoe)
motorway,$0.00,0,6,0.00,(the motorway fort collins)
longs,$22.91,1,6,0.00,(longs auto center)
track,$0.00,0,6,0.00,(fast track auto repair fort collins)
caliber,$0.00,0,6,0.00,(caliber fort collins)
arapahoe,$0.00,0,6,0.00,(autonation subaru arapahoe)
the,$0.00,0,6,0.00,(the motorway fort collins)
fast,$0.00,0,6,0.00,(fast track auto repair fort collins)
maintenance,$0.00,0,6,0.00,(subaru maintenance)
express,$0.00,0,5,0.00,(subaru express service)
transmission,$0.00,0,5,0.00,(transmission repair fort collins)
jeep,$0.00,0,5,0.00,(jeep service fort collins)
a&b,$0.00,0,5,0.00,(a&b auto fort collins)
electrical,$0.00,0,5,0.00,(electrical car mechanics)
cars,$0.00,0,5,0.00,(european motor cars fort collins)
motor,$0.00,0,5,0.00,(european motor cars fort collins)
we,$0.00,0,5,0.00,(we care auto repair fort collins)
department,$0.00,0,5,0.00,(fort collins kia service department)
colorado,$20.73,1,5,0.00,(subaru fort collins colorado)
volvo,$5.34,1,5,0.00,(volvo service fort collins)
accurate,$0.00,0,4,0.00,(accurate auto)
audi,$0.00,0,4,0.00,(audi service fort collins)
saturday,$0.00,0,4,0.00,(auto shop open on saturday)
on,$0.00,0,4,0.00,(auto shop open on saturday)
open,$0.00,0,4,0.00,(auto shop open on saturday)
